Rank,Player_Name,Matches_Played,Average,Strike_Rate,Boundary_Percentage,Batting_Impact_Score,Ranking_Score
334,Lalit Yadav,25,19.06,105.17,49.18,510.09,34.34
335,AJ Tye,30,10.11,119.74,59.34,196.37,34.33
336,Harsh Dubey,8,6.5,144.44,61.54,91.72,34.32
337,A Mithun,16,6.8,130.77,64.71,116.38,34.14
338,RD Chahar,79,8.06,104.03,63.57,245.52,34.01
339,RE van der Merwe,21,14.45,112.77,57.86,294.88,33.96
340,Sachin Baby,13,16.0,122.03,51.39,277.02,33.91
341,BB Samantray,8,25.0,110.62,51.2,242.81,33.64
342,RE Levi,6,13.83,113.7,77.11,181.35,33.6
343,Sediqullah Atal,1,22.0,137.5,54.55,101.75,33.57
344,I Udana,10,5.0,136.36,66.67,90.68,33.56
345,VVS Laxman,20,14.84,105.62,57.45,475.81,33.49
346,DJM Short,7,16.43,116.16,64.35,230.58,33.43
347,NM Coulter-Nile,38,7.45,113.89,63.41,179.94,33.36
348,N Jagadeesan,10,18.0,110.2,59.26,298.1,33.16
349,UBT Chand,20,15.0,100.0,60.67,500.0,33.13
350,Niraj Patel,6,30.25,101.68,51.24,232.34,33.11
351,OF Smith,6,17.0,115.91,66.67,134.45,33.09
352,S Gopal,51,12.86,106.51,48.89,323.25,32.94
353,Arjun Tendulkar,5,13.0,144.44,46.15,91.72,32.89
354,GF Linde,2,11.5,135.29,69.57,102.15,32.88
355,AU Rashid,3,11.0,137.5,63.64,101.75,32.84
356,JPR Scantlebury-Searles,3,8.0,133.33,75.0,78.67,32.76
357,RR Powar,26,22.33,104.69,44.78,152.84,32.7
358,A Mishra,162,11.91,90.93,40.42,616.97,32.7
359,LA Carseldine,5,20.25,119.12,54.32,181.06,32.58
360,A Choudhary,5,25.0,125.0,40.0,100.0,32.54
361,B Kumar,195,8.66,91.9,44.38,539.45,32.41
362,PK Garg,19,15.17,113.28,43.22,466.14,32.36
363,M Jansen,39,12.5,107.91,49.33,278.96,32.16
364,Mohammed Siraj,112,11.2,91.06,57.14,213.53,32.14
365,MG Johnson,54,12.85,101.83,49.1,301.41,32.02
366,Harshit Rana,32,9.83,105.36,64.41,141.18,32.02
367,AS Yadav,6,9.8,125.64,65.31,136.32,31.99
368,TG Southee,54,9.23,112.15,46.67,236.07,31.88
369,HR Shokeen,13,22.0,101.54,54.55,149.77,31.87
370,S Rana,8,22.75,112.35,46.15,192.67,31.86
371,DL Vettori,34,15.12,107.08,46.28,235.04,31.82
372,P Chopra,1,8.0,133.33,100.0,78.67,31.74
373,KA Jamieson,13,16.25,108.33,58.46,151.67,31.73
374,FY Fazal,12,18.3,105.78,51.37,327.39,31.53
375,SS Prabhudessai,10,12.6,118.87,53.97,248.43,31.52
376,AA Jhunjhunwala,19,16.69,103.33,48.85,377.17,31.42
377,TA Boult,122,8.6,103.61,44.19,180.81,31.33
378,SK Rasheed,5,14.2,112.7,67.61,162.85,31.21
379,RR Raje,10,20.0,111.11,50.0,85.56,31.15
380,M Kaif,22,14.39,103.6,47.88,440.3,31.14
381,DW Steyn,95,7.59,104.38,44.31,302.69,31.14
382,Sohail Tanvir,11,12.0,124.14,50.0,116.07,31.09
383,S Aravind,38,14.75,103.51,47.46,140.25,30.89
384,SP Goswami,21,14.65,99.32,49.83,489.16,30.88
385,Gulbadin Naib,2,19.0,126.67,52.63,91.83,30.85
386,Basil Thampi,25,32.0,91.43,31.25,93.71,30.81
387,R Sai Kishore,25,4.5,112.5,66.67,83.25,30.78
388,Aman Hakim Khan,10,12.78,110.58,59.13,227.79,30.71
389,JL Pattinson,10,15.0,115.38,53.33,80.19,30.63
390,XC Bartlett,9,22.0,110.0,45.45,88.0,30.61
391,W Jaffer,8,16.25,107.44,56.92,248.72,30.59
392,Swapnil Singh,14,10.2,113.33,58.82,133.17,30.51
393,Mohammed Shami,124,5.76,98.0,51.02,196.0,30.44
394,MS Wade,14,13.07,103.39,56.83,326.19,30.36
395,J Syed Mohammad,11,14.5,111.54,55.17,99.27,30.33
396,BR Dunk,3,13.33,114.29,70.0,117.14,30.22
397,SL Malinga,122,5.5,88.89,61.36,176.44,30.22
398,AP Majumdar,4,21.75,114.47,45.98,187.74,30.17
399,M Kartik,55,16.14,104.63,30.09,221.81,29.94
400,SA Abbott,3,7.33,122.22,72.73,94.11,29.85
401,SD Chitnis,9,14.14,111.24,52.53,204.12,29.74
402,K Upadhyay,3,12.0,133.33,50.0,84.67,29.71
403,K Goel,17,14.53,94.37,55.96,374.19,29.7
404,Y Gnaneswara Rao,2,19.0,111.76,63.16,84.38,29.67
405,DE Bollinger,27,21.0,91.3,47.62,77.15,29.57
406,Kuldeep Yadav,102,12.12,85.83,43.69,351.92,29.46
407,AS Joseph,22,27.0,84.38,44.44,82.69,29.41
408,DJ Willey,11,26.5,85.48,52.83,122.24,29.4
409,RJ Quiney,7,14.71,100.98,64.08,204.99,29.37
410,Sanvir Singh,5,12.5,119.05,56.0,97.02,29.28
411,DS Kulkarni,92,11.56,96.3,38.46,204.15,29.27
